Book_ID,Book_Title,Borrower_ID,Date_of_Issue,Date_of_Return,Status,Reservation_information,checkout_month,Number_of_checkouts,Rating_for_books(1-5)
1,Classical Mythology,AM329,21/6/2022,21/7/2022,Unavailable,Y,6,40,5
2,Clara Callan,AS443,11/2/2022,21/2/2022,Available,N,2,39,3
3,Decision in Normandy,BH149,12/5/2022,1/6/2022,Available,N,5,34,3
4,The Mummies of Urumchi,BM856,25/3/2022,15/4/2022,Available,N,3,33,2
5,The Kitchen God's Wife,BM856,17/1/2022,6/2/2022,Available,N,1,31,4
6,PLEADING GUILTY,BT132,10/7/2022,21/7/2022,Available,N,7,30,4
7,Where You'll Find Me: And Other Stories,CF829,3/3/2022,23/3/2022,Available,N,3,29,4
8,Nights Below Station Street,CF829,2/4/2022,22/4/2022,Available,N,4,29,3
9,The Middle Stories,CS190,20/7/2022,10/8/2022,Unavailable,N,7,64,4
10,Jane Doe,CW626,4/6/2022,24/6/2022,Unavailable,Y,6,61,3
11,G I Jane,CS343,5/3/2022,20/3/2022,Available,N,3,55,5
